City, Low min, Low max, High min, High max, Sunshine
Bratislava, -3.4, 15.4, 2.7, 27.5, 2038.1
Prague, -4.0, 12.7, 1.3, 24.4, 1667.9
Budapest, -1.6, 16.8, 2.9, 26.7, 1988.0
Vienna, -0.8, 17.5, 3.8, 26.7, 1935.5
Leipzig, -2.2, 13.8, 3.2, 24.5, 1737.3
Berlin, -1.9, 14.3, 2.9, 23.7, 1625.6
Hamburg, -0.3, 13.8, 3.9, 23.5, 1581.9
Zurich, -2.0, 14.0, 2.9, 24.0, 1544.0
Amsterdam, 0.5, 12.0, 5.8, 22.1, 1662.0
Paris, 2.7, 15.8, 7.2, 25.2, 1661.7
London, 2.1, 15.5, 8.1, 23.6, 1632.6
Edinburgh, 1.1, 11.5, 6.6, 19.2, 1342.7
St_Andrews, 0.4, 10.5, 6.3, 19.0, 1523.2
Milan, -0.9, 18.0, 5.9, 29.2, 1915.1
Barcelona, 8.8, 23.1, 14.8, 29.0, -0.0
Madrid, 0.2, 19.0, 9.8, 33.5, 2840.0
Lisbon, 8.3, 18.6, 14.8, 28.3, -0.0
Tenerife, 5.4, 21.9, 13.5, 29.0, 2410.0
Boston, -5.4, 18.6, 2.1, 27.4, 2633.6
Raleigh, -0.6, 21.1, 10.5, 32.3, 2606.3
Phoenix, 7.1, 28.6, 18.9, 41.2, 3871.6
Los_Angeles, 3.5, 17.9, 17.9, 35.6, 3254.2
San_Francisco, 7.6, 12.8, 13.8, 21.2, 3061.7
Seattle, 2.0, 13.3, 7.6, 24.6, 2169.7
Vancouver, 0.8, 13.8, 6.3, 22.2, 1937.5
Toronto, -6.7, 18.3, -0.7, 27.3, 2066.3
Singapore, 23.3, 24.8, 30.0, 31.7, 2022.4
Brisbane, 9.0, 21.4, 20.9, 30.2, 2968.4
Melbourne, 6.0, 14.6, 13.5, 25.9, 2190.8
Sydney, 8.1, 18.8, 16.3, 25.9, 2635.5
Perth, 6.77, 18.4, 15.4, 31.7, 3229.5
Auckland, 7.1, 15.8, 14.7, 23.7, 2003.1
Dunedin, 3.1, 11.6, 10.0, 18.9, 1683.7
Wellington, 5.9, 14.5, 11.1, 21.1, 2058.7
